date,game,# of registrations,max ccu,avg ccu,# of unique users, revenue ,# of paying users,paying rate,arpu,arppu
7/3/14,Z Force,470,"2,022","1,334","7,146","$5,368",340,4.76%,$0.75,$15.79
7/3/14,Ranger Danger,"1,886","6,708","4,513","23,092","$27,504","1,850",8.01%,$1.19,$14.87
7/3/14,Queen Bee,172,"3,617","3,003","11,028","$6,743",216,1.96%,$0.61,$31.22
7/4/14,Z Force,446,"1,823","1,331","7,070","$5,790",356,5.04%,$0.82,$16.27
7/4/14,Ranger Danger,"1,873","6,137","4,546","22,744","$26,237","1,770",7.78%,$1.15,$14.82
7/4/14,Queen Bee,195,"5,109","4,319","13,032","$14,367",305,2.34%,$1.10,$47.11
7/5/14,Z Force,435,"2,037","1,360","7,026","$6,882",383,5.45%,$0.98,$17.97
7/5/14,Ranger Danger,"2,124","6,560","4,683","23,363","$25,163","1,806",7.73%,$1.08,$13.93
7/5/14,Queen Bee,182,"6,971","6,133","13,695","$17,126",365,2.67%,$1.25,$46.92
7/6/14,Z Force,429,"2,109","1,345","7,092","$5,562",359,5.06%,$0.78,$15.49
7/6/14,Ranger Danger,"2,689","7,091","4,843","24,508","$25,857","1,842",7.52%,$1.06,$14.04
7/6/14,Queen Bee,180,"5,311","4,595","13,511","$8,862",280,2.07%,$0.66,$31.65
7/7/14,Z Force,446,"1,955","1,056","6,860","$5,600",307,4.48%,$0.82,$18.24
7/7/14,Ranger Danger,"2,358","7,006","4,667","24,085","$22,921","1,702",7.07%,$0.95,$13.47
7/7/14,Queen Bee,246,"4,874","4,132","13,532","$8,967",251,1.86%,$0.66,$35.72
7/8/14,Z Force,509,"2,204","1,377","7,336","$5,169",312,4.25%,$0.70,$16.57
7/8/14,Ranger Danger,"2,124","6,796","4,507","23,568","$21,864","1,574",6.68%,$0.93,$13.89
7/8/14,Queen Bee,174,"4,814","4,044","13,515","$8,273",241,1.78%,$0.61,$34.33
7/9/14,Z Force,489,"2,059","1,291","7,264","$5,158",350,4.82%,$0.71,$14.74
7/9/14,Ranger Danger,"2,150","6,469","4,325","22,985","$18,430","1,495",6.50%,$0.80,$12.33
7/9/14,Queen Bee,168,"4,666","3,958","13,555","$7,846",249,1.84%,$0.58,$31.51
7/10/14,Z Force,453,"2,012","1,207","6,844","$4,365",320,4.68%,$0.64,$13.64
7/10/14,Ranger Danger,"1,707","6,426","3,932","20,581","$15,686","1,239",6.02%,$0.76,$12.66
7/10/14,Queen Bee,199,"4,169","3,517","13,117","$14,970",517,3.94%,$1.14,$28.96
7/11/14,Z Force,530,"2,110","1,351","7,213","$5,841",372,5.16%,$0.81,$15.70
7/11/14,Ranger Danger,"1,887","6,290","4,305","21,987","$22,561","1,549",7.05%,$1.03,$14.56
7/11/14,Queen Bee,165,"4,803","4,007","13,188","$15,571",483,3.66%,$1.18,$32.24
7/12/14,Z Force,543,"2,058","1,365","7,197","$7,044",390,5.42%,$0.98,$18.06
7/12/14,Ranger Danger,"1,483","6,346","4,449","21,582","$22,743","1,481",6.86%,$1.05,$15.36
7/12/14,Queen Bee,213,"5,054","3,900","13,198","$12,552",390,2.96%,$0.95,$32.19
7/13/14,Z Force,565,"2,073","1,343","7,498","$7,121",395,5.27%,$0.95,$18.03
7/13/14,Ranger Danger,"2,035","6,453","4,470","22,233","$19,568","1,502",6.76%,$0.88,$13.03
7/13/14,Queen Bee,221,"5,168","4,346","13,454","$10,223",307,2.28%,$0.76,$33.30
7/14/14,Z Force,522,"2,169","1,291","7,505","$6,545",378,5.04%,$0.87,$17.32
7/14/14,Ranger Danger,"1,741","6,394","4,223","21,671","$17,158","1,347",6.22%,$0.79,$12.74
7/14/14,Queen Bee,238,"4,616","3,976","13,324","$8,352",273,2.05%,$0.63,$30.60
7/15/14,Z Force,534,"2,165","1,299","7,762","$4,836",381,4.91%,$0.62,$12.69
7/15/14,Ranger Danger,"1,708","6,391","4,199","21,409","$17,455","1,410",6.59%,$0.82,$12.38
7/15/14,Queen Bee,213,"4,489","3,879","13,268","$8,081",293,2.21%,$0.61,$27.58
7/16/14,Z Force,725,"4,206","2,357","11,369","$32,005","1,821",16.02%,$2.82,$17.58
7/16/14,Ranger Danger,"1,700","6,173","4,172","21,174","$14,613","1,276",6.03%,$0.69,$11.45
7/16/14,Queen Bee,190,"4,431","3,862","13,135","$8,113",279,2.12%,$0.62,$29.08
7/17/14,Z Force,648,"4,157","2,773","11,966","$22,129","1,425",11.91%,$1.85,$15.53
7/17/14,Ranger Danger,"1,428","5,813","3,221","20,051","$21,094","1,389",6.93%,$1.05,$15.19
7/17/14,Queen Bee,181,"3,893","3,382","12,531","$14,732",350,2.79%,$1.18,$42.09
7/18/14,Z Force,587,"3,988","2,774","11,720","$18,809","1,240",10.58%,$1.60,$15.17
7/18/14,Ranger Danger,"1,857","6,154","4,230","22,339","$29,366","1,691",7.57%,$1.31,$17.37
7/18/14,Queen Bee,199,"4,415","3,915","12,915","$10,376",281,2.18%,$0.80,$36.93
7/19/14,Z Force,595,"3,907","2,712","11,579","$16,871","1,159",10.01%,$1.46,$14.56
7/19/14,Ranger Danger,"1,504","6,095","4,359","22,390","$26,726","1,655",7.39%,$1.19,$16.15
7/19/14,Queen Bee,163,"4,758","4,135","13,029","$9,030",269,2.07%,$0.69,$33.57
7/20/14,Z Force,671,"4,100","2,742","11,702","$14,706","1,119",9.56%,$1.26,$13.14
7/20/14,Ranger Danger,"1,846","6,340","4,444","23,181","$23,106","1,490",6.43%,$1.00,$15.51
7/20/14,Queen Bee,187,"4,911","4,081","12,889","$6,328",200,1.55%,$0.49,$31.64
7/21/14,Z Force,651,"4,098","2,703","11,805","$15,510","1,046",8.86%,$1.31,$14.83
7/21/14,Ranger Danger,"1,750","6,259","4,187","23,263","$20,008","1,397",6.01%,$0.86,$14.32
7/21/14,Queen Bee,236,"4,490","3,830","12,761","$6,111",214,1.68%,$0.48,$28.56
7/22/14,Z Force,618,"3,695","2,540","11,768","$14,305",959,8.15%,$1.22,$14.92
7/22/14,Ranger Danger,"1,679","6,158","4,135","22,979","$17,513","1,331",5.79%,$0.76,$13.16
7/22/14,Queen Bee,213,"4,461","3,849","12,903","$7,420",232,1.80%,$0.58,$31.98
7/23/14,Z Force,811,"3,709","2,411","11,391","$11,014",879,7.72%,$0.97,$12.53
7/23/14,Ranger Danger,"1,606","6,067","4,071","22,692","$19,566","1,407",6.20%,$0.86,$13.91
7/23/14,Queen Bee,169,"4,404","3,874","12,919","$6,690",230,1.78%,$0.52,$29.08
7/24/14,Z Force,555,"3,670","2,290","11,232","$26,437","1,154",10.27%,$2.35,$22.91
7/24/14,Ranger Danger,"1,720","5,948","3,987","22,491","$16,283","1,278",5.68%,$0.72,$12.74
7/24/14,Queen Bee,180,"4,069","3,644","12,622","$3,886",162,1.28%,$0.31,$23.99
7/25/14,Z Force,729,"3,679","2,418","11,475","$23,425","1,089",9.49%,$2.04,$21.51
7/25/14,Ranger Danger,"1,670","5,781","4,032","22,583","$19,366","1,419",6.28%,$0.86,$13.65
7/25/14,Queen Bee,217,"4,843","3,689","12,581","$41,305",520,4.13%,$3.28,$79.43
7/26/14,Z Force,830,"3,773","2,559","11,365","$20,776","1,127",9.92%,$1.83,$18.43
7/26/14,Ranger Danger,"1,363","5,734","4,164","22,347","$19,409","1,458",6.52%,$0.87,$13.31
7/26/14,Queen Bee,212,"5,451","4,740","13,233","$25,151",383,2.89%,$1.90,$65.67
7/27/14,Z Force,700,"3,753","2,567","11,586","$20,946","1,043",9.00%,$1.81,$20.08
7/27/14,Ranger Danger,"2,006","6,049","4,230","23,462","$17,618","1,477",6.30%,$0.75,$11.93
7/27/14,Queen Bee,197,"5,421","4,649","13,349","$18,239",322,2.41%,$1.37,$56.64
7/28/14,Z Force,661,"3,608","2,388","11,366","$8,898",806,7.09%,$0.78,$11.04
7/28/14,Ranger Danger,"1,793","6,063","4,023","23,239","$17,063","1,313",5.65%,$0.73,$13.00
7/28/14,Queen Bee,233,"5,201","4,407","13,302","$12,093",221,1.66%,$0.91,$54.72
7/29/14,Z Force,676,"3,370","2,179","11,114","$8,947",822,7.40%,$0.81,$10.88
7/29/14,Ranger Danger,"1,832","5,969","3,986","22,962","$15,805","1,306",5.69%,$0.69,$12.10
7/29/14,Queen Bee,214,"5,082","4,327","13,263","$11,267",212,1.60%,$0.85,$53.14
7/30/14,Z Force,602,"3,256","1,998","10,521","$9,858",729,6.93%,$0.94,$13.52
7/30/14,Ranger Danger,"1,710","5,781","3,897","22,527","$15,345","1,263",5.61%,$0.68,$12.15
7/30/14,Queen Bee,216,"4,998","4,242","13,276","$10,355",225,1.70%,$0.78,$46.02
7/31/14,Z Force,612,"3,164","2,079","10,641","$10,668",758,7.12%,$1.00,$14.07
7/31/14,Ranger Danger,"1,634","5,568","3,831","20,943","$17,963","1,304",6.23%,$0.86,$13.78
7/31/14,Queen Bee,172,"4,301","3,754","12,516","$22,900",367,2.93%,$1.83,$62.40
8/1/14,Z Force,669,"3,226","2,138","10,735","$20,359",945,8.80%,$1.90,$21.54
8/1/14,Ranger Danger,"1,770","5,412","3,717","19,945","$18,855","1,343",6.73%,$0.95,$14.04
8/1/14,Queen Bee,181,"5,512","4,423","13,368","$20,930",376,2.81%,$1.57,$55.67
8/2/14,Z Force,614,"3,242","2,134","10,418","$18,800",999,9.59%,$1.80,$18.82
8/2/14,Ranger Danger,"1,240","5,443","3,831","19,516","$18,788","1,414",7.25%,$0.96,$13.29
8/2/14,Queen Bee,170,"7,419","6,621","13,954","$23,805",437,3.13%,$1.71,$54.47
8/3/14,Z Force,819,"3,266","2,157","10,466","$15,903",928,8.87%,$1.52,$17.14
8/3/14,Ranger Danger,"1,877","5,488","3,874","19,905","$16,345","1,359",6.83%,$0.82,$12.03
8/3/14,Queen Bee,186,"5,357","4,546","13,208","$4,834",131,0.99%,$0.37,$36.90
8/4/14,Z Force,631,"3,134","2,124","10,560","$8,821",734,6.95%,$0.84,$12.02
8/4/14,Ranger Danger,"1,829","5,481","3,722","19,634","$15,909","1,210",6.16%,$0.81,$13.15
8/4/14,Queen Bee,192,"4,725","4,093","12,943","$5,194",125,0.97%,$0.40,$41.55
8/5/14,Z Force,800,"3,167","2,084","10,376","$7,941",682,6.57%,$0.77,$11.64
8/5/14,Ranger Danger,"1,734","5,543","3,699","19,252","$14,957","1,237",6.43%,$0.78,$12.09
8/5/14,Queen Bee,202,"4,735","4,050","12,822","$3,927",127,0.99%,$0.31,$30.92
8/6/14,Z Force,561,"3,083","1,899","10,180","$7,811",628,6.17%,$0.77,$12.44
8/6/14,Ranger Danger,"1,682","5,408","3,662","19,129","$22,051","1,523",7.96%,$1.15,$14.48
8/6/14,Queen Bee,197,"4,640","3,986","12,719","$4,209",153,1.20%,$0.33,$27.51
8/7/14,Z Force,639,"3,005","1,942","10,044","$8,345",664,6.61%,$0.83,$12.57
8/7/14,Ranger Danger,"1,709","5,351","3,603","18,670","$20,071","1,407",7.54%,$1.08,$14.27
8/7/14,Queen Bee,170,"4,003","3,339","12,129","$13,235",266,2.19%,$1.09,$49.76
8/8/14,Z Force,613,"3,182","2,011","10,238","$10,214",724,7.07%,$1.00,$14.11
8/8/14,Ranger Danger,"1,594","5,104","3,554","18,373","$19,024","1,334",7.26%,$1.04,$14.26
8/8/14,Queen Bee,199,"4,592","3,964","12,462","$9,456",202,1.62%,$0.76,$46.81
8/9/14,Z Force,655,"3,008","2,054","10,178","$11,211",761,7.48%,$1.10,$14.73
8/9/14,Ranger Danger,"1,247","4,951","3,660","17,885","$17,707","1,291",7.22%,$0.99,$13.72
8/9/14,Queen Bee,214,"4,963","4,344","12,441","$7,059",195,1.57%,$0.57,$36.20
8/10/14,Z Force,655,"3,117","2,042","10,169","$10,570",718,7.06%,$1.04,$14.72
8/10/14,Ranger Danger,"1,853","5,341","3,737","18,971","$17,106","1,284",6.77%,$0.90,$13.32
8/10/14,Queen Bee,227,"4,809","4,102","12,605","$5,142",146,1.16%,$0.41,$35.22
8/11/14,Z Force,609,"3,223","2,003","10,728","$8,549",678,6.32%,$0.80,$12.61
8/11/14,Ranger Danger,"1,711","5,215","3,558","18,504","$15,635","1,177",6.36%,$0.84,$13.28
8/11/14,Queen Bee,178,"4,341","3,754","12,219","$4,409",124,1.02%,$0.36,$35.56
8/12/14,Z Force,608,"3,126","1,976","10,268","$6,107",615,5.99%,$0.59,$9.93
8/12/14,Ranger Danger,"1,520","5,088","3,434","17,940","$16,634","1,197",6.67%,$0.93,$13.90
8/12/14,Queen Bee,183,"4,245","3,679","12,080","$4,187",124,1.03%,$0.35,$33.77
8/13/14,Z Force,560,"2,847","1,873","9,909","$7,654",649,6.55%,$0.77,$11.79
8/13/14,Ranger Danger,"1,472","4,995","3,374","17,492","$12,849","1,057",6.04%,$0.73,$12.16
8/13/14,Queen Bee,167,"4,255","3,648","12,115","$4,070",114,0.94%,$0.34,$35.70
8/14/14,Z Force,499,"3,286","1,859","9,063","$53,031","1,394",15.38%,$5.85,$38.04
8/14/14,Ranger Danger,202,"3,376","1,403","7,703","$25,868",904,11.74%,$3.36,$28.62
8/14/14,Queen Bee,152,"4,041","3,086","11,481","$12,550",263,2.29%,$1.09,$47.72
8/15/14,Z Force,557,"3,075","1,887","10,036","$30,380","1,116",11.12%,$3.03,$27.22
8/15/14,Ranger Danger,"1,650","5,653","3,606","18,793","$99,351","2,928",15.58%,$5.29,$33.93
8/15/14,Queen Bee,306,"4,889","3,935","12,965","$8,853",214,1.65%,$0.68,$41.37
8/16/14,Z Force,522,"3,037","1,789","9,696","$21,309",934,9.63%,$2.20,$22.82
8/16/14,Ranger Danger,"1,310","5,737","3,900","18,502","$43,074","1,977",10.69%,$2.33,$21.79
8/16/14,Queen Bee,277,"6,253","4,849","14,429","$6,610",183,1.27%,$0.46,$36.12
8/17/14,Z Force,565,"2,941","1,945","9,629","$17,323",905,9.40%,$1.80,$19.14
8/17/14,Ranger Danger,"1,765","5,825","3,873","19,041","$32,562","1,644",8.63%,$1.71,$19.81
8/17/14,Queen Bee,270,"5,736","4,441","13,597","$5,386",155,1.14%,$0.40,$34.75
8/18/14,Z Force,485,"2,895","1,858","9,357","$14,636",791,8.45%,$1.56,$18.50
8/18/14,Ranger Danger,"1,551","5,316","3,517","18,221","$31,855","1,580",8.67%,$1.75,$20.16
8/18/14,Queen Bee,244,"5,112","3,926","12,920","$4,458",143,1.11%,$0.35,$31.18
8/19/14,Z Force,534,"2,949","1,783","9,097","$14,154",758,8.33%,$1.56,$18.67
8/19/14,Ranger Danger,"1,529","5,359","3,500","17,990","$31,746","1,462",8.13%,$1.76,$21.71
8/19/14,Queen Bee,272,"5,061","3,835","12,921","$3,908",139,1.08%,$0.30,$28.11
8/20/14,Z Force,461,"2,758","1,744","8,808","$12,538",702,7.97%,$1.42,$17.86
8/20/14,Ranger Danger,"1,432","5,095","3,405","17,183","$25,239","1,379",8.03%,$1.47,$18.30
8/20/14,Queen Bee,252,"4,997","3,842","12,879","$5,548",142,1.10%,$0.43,$39.07
8/21/14,Z Force,468,"3,175","1,738","9,702","$13,498",722,7.44%,$1.39,$18.70
8/21/14,Ranger Danger,"1,377","4,978","3,348","16,659","$26,877","1,282",7.70%,$1.61,$20.97
8/21/14,Queen Bee,164,"4,227","3,208","12,276","$7,172",235,1.91%,$0.58,$30.52
8/22/14,Z Force,408,"3,005","1,688","8,754","$14,215",730,8.34%,$1.62,$19.47
8/22/14,Ranger Danger,"1,361","5,138","3,323","16,695","$24,315","1,267",7.59%,$1.46,$19.19
8/22/14,Queen Bee,225,"4,769","3,779","12,521","$14,793",408,3.26%,$1.18,$36.26
8/23/14,Z Force,513,"3,114","1,962","9,124","$12,012",763,8.36%,$1.32,$15.74
8/23/14,Ranger Danger,"1,570","5,200","3,547","17,603","$22,444","1,295",7.36%,$1.28,$17.33
8/23/14,Queen Bee,223,"5,296","4,215","12,898","$23,370",580,4.50%,$1.81,$40.29
8/24/14,Z Force,480,"3,010","1,856","8,754","$15,684",809,9.24%,$1.79,$19.39
8/24/14,Ranger Danger,"1,276","5,153","3,581","17,346","$22,595","1,342",7.74%,$1.30,$16.84
8/24/14,Queen Bee,215,"5,184","4,085","12,794","$19,540",509,3.98%,$1.53,$38.39
8/25/14,Z Force,391,"2,483","1,526","8,010","$11,699",649,8.10%,$1.46,$18.03
8/25/14,Ranger Danger,"1,431","4,577","3,062","16,297","$22,174","1,150",7.06%,$1.36,$19.28
8/25/14,Queen Bee,230,"4,684","3,665","12,282","$2,579",94,0.77%,$0.21,$27.44
8/26/14,Z Force,393,"2,400","1,463","7,759","$10,729",623,8.03%,$1.38,$17.22
8/26/14,Ranger Danger,"1,454","4,461","2,945","15,811","$18,711","1,075",6.80%,$1.18,$17.41
8/26/14,Queen Bee,198,"4,575","3,596","12,042","$2,162",76,0.63%,$0.18,$28.45
8/27/14,Z Force,338,"2,649","1,463","7,250","$9,525",524,7.23%,$1.31,$18.18
8/27/14,Ranger Danger,"1,211","4,358","2,784","14,269","$19,329",971,6.81%,$1.35,$19.91
8/27/14,Queen Bee,135,"3,922","2,955","11,281","$11,040",164,1.45%,$0.98,$67.32
8/28/14,Z Force,386,"2,380","1,350","7,436","$9,476",540,7.26%,$1.27,$17.55
8/28/14,Ranger Danger,"1,343","4,306","2,846","15,004","$14,311",934,6.23%,$0.95,$15.32
8/28/14,Queen Bee,163,"4,155","3,328","11,976","$7,304",153,1.28%,$0.61,$47.74
8/29/14,Z Force,361,"2,744","1,549","8,023","$14,880",691,8.61%,$1.85,$21.53
8/29/14,Ranger Danger,"1,317","4,347","2,914","14,934","$15,609",980,6.56%,$1.05,$15.93
8/29/14,Queen Bee,226,"4,463","3,614","12,252","$14,784",365,2.98%,$1.21,$40.50
8/30/14,Z Force,487,"2,617","1,738","8,384","$14,473",749,8.93%,$1.73,$19.32
8/30/14,Ranger Danger,"1,402","4,478","3,184","15,847","$16,076","1,183",7.47%,$1.01,$13.59
8/30/14,Queen Bee,201,"5,289","4,251","12,482","$10,385",311,2.49%,$0.83,$33.39
8/31/14,Z Force,489,"2,786","1,745","8,226","$14,993",798,9.70%,$1.82,$18.79
8/31/14,Ranger Danger,"1,239","4,546","3,266","15,976","$14,893","1,149",7.19%,$0.93,$12.96
8/31/14,Queen Bee,201,"4,933","4,074","12,385","$5,977",212,1.71%,$0.48,$28.19
9/1/14,Z Force,470,"2,420","1,652","8,061","$11,500",679,8.42%,$1.43,$16.94
9/1/14,Ranger Danger,"1,430","4,432","3,168","15,781","$14,177","1,118",7.08%,$0.90,$12.68
9/1/14,Queen Bee,178,"4,641","3,675","11,899","$8,469",233,1.96%,$0.71,$36.35
9/2/14,Z Force,141,"1,925",683,"4,168","$5,184",255,6.12%,$1.24,$20.33
9/2/14,Ranger Danger,323,"3,964","1,881","8,192","$5,553",488,5.96%,$0.68,$11.38
9/2/14,Queen Bee,83,"3,167","1,625","8,195","$1,721",54,0.66%,$0.21,$31.87
9/3/14,Z Force,356,"2,435","1,296","7,191","$12,020",692,9.62%,$1.67,$17.37
9/3/14,Ranger Danger,"1,394","4,435","2,903","14,434","$15,349","1,171",8.11%,$1.06,$13.11
9/3/14,Queen Bee,160,"4,043","3,319","11,864","$4,481",117,0.99%,$0.38,$38.30
9/4/14,Z Force,274,"2,211","1,185","6,709","$8,632",480,7.16%,$1.29,$17.98
9/4/14,Ranger Danger,"1,263","3,886","2,633","13,668","$12,173",938,6.86%,$0.89,$12.98
9/4/14,Queen Bee,108,"3,303","2,251","10,221","$7,581",198,1.94%,$0.74,$38.29
9/5/14,Z Force,349,"2,609","1,437","7,541","$10,102",531,7.04%,$1.34,$19.02
9/5/14,Ranger Danger,"1,243","4,255","2,801","14,264","$16,098","1,095",7.68%,$1.13,$14.70
9/5/14,Queen Bee,168,"4,417","3,355","11,984","$5,366",167,1.39%,$0.45,$32.13
9/6/14,Z Force,511,"2,641","1,743","8,156","$10,272",595,7.30%,$1.26,$17.26
9/6/14,Ranger Danger,"1,360","4,390","3,144","15,360","$13,991","1,147",7.47%,$0.91,$12.20
9/6/14,Queen Bee,170,"6,575","5,646","13,279","$71,494","1,332",10.03%,$5.38,$53.67
9/7/14,Z Force,424,"2,539","1,601","7,720","$10,226",585,7.58%,$1.32,$17.48
9/7/14,Ranger Danger,849,"4,206","3,004","14,407","$12,996","1,029",7.14%,$0.90,$12.63
9/7/14,Queen Bee,171,"4,701","3,727","12,066","$2,023",86,0.71%,$0.17,$23.52
9/8/14,Z Force,310,"2,011","1,167","6,392","$7,875",461,7.21%,$1.23,$17.08
9/8/14,Ranger Danger,"1,713","3,817","2,527","13,646","$11,194",892,6.54%,$0.82,$12.55
9/8/14,Queen Bee,149,"3,962","3,247","11,417","$2,886",96,0.84%,$0.25,$30.07
9/9/14,Z Force,294,"2,013","1,137","6,355","$7,846",448,7.05%,$1.23,$17.51
9/9/14,Ranger Danger,"1,128","3,812","2,541","12,824","$10,007",813,6.34%,$0.78,$12.31
9/9/14,Queen Bee,162,"3,849","3,176","11,482","$2,111",74,0.64%,$0.18,$28.52
9/10/14,Z Force,248,"2,066","1,138","6,182","$7,661",454,7.34%,$1.24,$16.87
9/10/14,Ranger Danger,"1,109","3,644","2,467","12,273","$10,071",808,6.58%,$0.82,$12.46
9/10/14,Queen Bee,147,"3,840","3,118","11,303","$2,844",90,0.80%,$0.25,$31.60
9/11/14,Z Force,256,"1,865","1,001","5,877","$8,034",416,7.08%,$1.37,$19.31
9/11/14,Ranger Danger,991,"3,641","2,051","11,332","$8,303",673,5.94%,$0.73,$12.34
9/11/14,Queen Bee,123,"3,466","2,590","10,550","$5,499",159,1.51%,$0.52,$34.58
9/12/14,Z Force,309,"2,362","1,273","6,760","$7,990",478,7.07%,$1.18,$16.72
9/12/14,Ranger Danger,"1,231","4,293","2,734","13,366","$12,560","1,282",9.59%,$0.94,$9.80
9/12/14,Queen Bee,171,"3,976","3,201","11,265","$16,232",246,2.18%,$1.44,$65.98
9/13/14,Z Force,478,"2,448","1,576","7,569","$7,727",529,6.99%,$1.02,$14.61
9/13/14,Ranger Danger,"1,238","4,539","3,513","14,523","$13,949","1,400",9.64%,$0.96,$9.96
9/13/14,Queen Bee,200,"4,446","3,618","11,580","$20,939",285,2.46%,$1.81,$73.47
9/14/14,Z Force,460,"2,316","1,466","7,240","$7,645",514,7.10%,$1.06,$14.87
9/14/14,Ranger Danger,"1,635","4,393","3,413","14,701","$10,084","1,159",7.88%,$0.69,$8.70
9/14/14,Queen Bee,197,"4,311","3,470","11,487","$11,935",204,1.78%,$1.04,$58.50
9/15/14,Z Force,346,"2,029","1,122","7,043","$8,063",455,6.46%,$1.14,$17.72
9/15/14,Ranger Danger,"1,151","4,089","2,948","12,733","$11,417","1,109",8.71%,$0.90,$10.30
9/15/14,Queen Bee,245,"3,813","3,071","11,002","$2,778",99,0.90%,$0.25,$28.07
9/16/14,Z Force,272,"1,928","1,110","6,083","$7,098",418,6.87%,$1.17,$16.98
9/16/14,Ranger Danger,"1,088","3,990","2,835","12,286","$10,230","1,023",8.33%,$0.83,$10.00
9/16/14,Queen Bee,181,"3,651","3,015","10,779","$2,003",77,0.71%,$0.19,$26.02
9/17/14,Z Force,265,"2,371","1,144","6,360","$26,449",799,12.56%,$4.16,$33.10
9/17/14,Ranger Danger,454,"3,560","1,619","11,929","$21,156",896,7.51%,$1.77,$23.61
9/17/14,Queen Bee,137,"3,674","3,021","11,015","$2,226",77,0.70%,$0.20,$28.91
9/18/14,Z Force,283,"2,252","1,232","6,327","$17,509",639,10.10%,$2.77,$27.40
9/18/14,Ranger Danger,"1,641","4,540","3,062","15,487","$21,756","1,154",7.45%,$1.40,$18.85
9/18/14,Queen Bee,139,"3,313","2,528","10,846","$9,995",159,1.47%,$0.92,$62.86
9/19/14,Z Force,307,"2,503","1,452","7,017","$15,863",680,9.69%,$2.26,$23.33
9/19/14,Ranger Danger,"1,334","4,633","3,298","16,188","$18,420","1,108",6.85%,$1.14,$16.62
9/19/14,Queen Bee,155,"3,883","3,309","10,989","$6,651",166,1.51%,$0.61,$40.07
9/20/14,Z Force,461,"2,516","1,712","7,542","$13,349",669,8.87%,$1.77,$19.95
9/20/14,Ranger Danger,"1,240","4,798","3,628","17,257","$15,867","1,156",6.70%,$0.92,$13.73
9/20/14,Queen Bee,196,"4,371","3,644","11,461","$5,232",168,1.47%,$0.46,$31.14
9/21/14,Z Force,406,"2,453","1,647","7,324","$11,344",594,8.11%,$1.55,$19.10
9/21/14,Ranger Danger,"1,322","5,057","3,836","17,736","$14,521","1,130",6.37%,$0.82,$12.85
9/21/14,Queen Bee,172,"4,398","3,551","11,253","$2,839",94,0.84%,$0.25,$30.21
9/22/14,Z Force,254,"2,140","1,289","6,180","$9,288",450,7.28%,$1.50,$20.64
9/22/14,Ranger Danger,"1,382","4,557","3,615","16,553","$11,508",952,5.75%,$0.70,$12.09
9/22/14,Queen Bee,168,"3,806","3,188","10,776","$2,927",102,0.95%,$0.27,$28.70
9/23/14,Z Force,302,"2,113","1,256","6,153","$7,695",424,6.89%,$1.25,$18.15
9/23/14,Ranger Danger,"1,270","4,441","3,202","16,285","$12,191",837,5.14%,$0.75,$14.56
9/23/14,Queen Bee,128,"3,849","3,143","10,935","$3,192",104,0.95%,$0.29,$30.69
9/24/14,Z Force,254,"2,210","1,262","6,012","$9,370",524,8.72%,$1.56,$17.88
9/24/14,Ranger Danger,"1,101","4,217","2,692","15,711","$9,863",716,4.56%,$0.63,$13.77
9/24/14,Queen Bee,154,"3,188","2,645","10,467","$4,835",137,1.31%,$0.46,$35.29
9/25/14,Z Force,250,"2,118","1,258","6,152","$9,948",514,8.36%,$1.62,$19.35
9/25/14,Ranger Danger,"1,257","4,042","2,782","16,172","$11,780",772,4.77%,$0.73,$15.26
9/25/14,Queen Bee,171,"3,505","3,006","10,575","$4,795",120,1.14%,$0.45,$39.96
9/26/14,Z Force,425,"2,451","1,426","7,385","$11,786",580,7.85%,$1.60,$20.32
9/26/14,Ranger Danger,"1,219","4,193","2,902","16,487","$11,604",787,4.77%,$0.70,$14.74
9/26/14,Queen Bee,148,"3,607","3,092","10,601","$7,697",208,1.96%,$0.73,$37.01
9/27/14,Z Force,426,"2,423","1,688","7,344","$10,298",582,7.93%,$1.40,$17.69
9/27/14,Ranger Danger,"1,178","4,342","3,241","17,137","$12,795",903,5.27%,$0.75,$14.17
9/27/14,Queen Bee,168,"4,028","3,357","10,885","$10,188",221,2.03%,$0.94,$46.10
9/28/14,Z Force,415,"2,370","1,599","7,037","$9,943",519,7.38%,$1.41,$19.16
9/28/14,Ranger Danger,"1,753","4,408","3,261","18,058","$10,760",814,4.51%,$0.60,$13.22
9/28/14,Queen Bee,215,"4,061","3,335","10,907","$7,297",191,1.75%,$0.67,$38.20
9/29/14,Z Force,333,"2,096","1,243","6,038","$8,788",481,7.97%,$1.46,$18.27
9/29/14,Ranger Danger,"1,385","4,313","2,870","16,766","$9,432",699,4.17%,$0.56,$13.49
9/29/14,Queen Bee,172,"3,653","3,014","10,521","$5,448",134,1.27%,$0.52,$40.65
9/30/14,Z Force,278,"2,039","1,204","5,872","$7,999",445,7.58%,$1.36,$17.97
9/30/14,Ranger Danger,"1,109","4,245","2,961","16,177","$11,768",708,4.38%,$0.73,$16.62
9/30/14,Queen Bee,145,"3,538","3,013","10,633","$6,079",167,1.57%,$0.57,$36.40
10/1/14,Z Force,265,"2,105","1,158","5,884","$15,277",573,9.74%,$2.60,$26.66
10/1/14,Ranger Danger,"1,241","4,729","3,281","16,199","$17,871",904,5.58%,$1.10,$19.77
10/1/14,Queen Bee,119,"3,629","3,054","10,677","$6,890",186,1.74%,$0.65,$37.04
10/2/14,Z Force,268,"2,050","1,230","5,811","$13,306",548,9.43%,$2.29,$24.28
